is_number,title,year,status,category,keywords,related_service,source_url
IS 8737,Valve fittings for use with liquefied petroleum gas cylinders of more than 5 litre water capacity Part 2 Valve fittings for newly manufactured LPG cylinders,Current,Mandatory (QCO),Compulsory Certification,"Valve, fittings, with, liquefied, petroleum, cylinders",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 8776,Valve Fittings for Use with Liquefied Petroleum Gas (LPG) Cylinders up to and Including 5-Litre Water Capacity,Current,Mandatory (QCO),Compulsory Certification,"Valve, Fittings, with, Liquefied, Petroleum, Cylinders",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 9798,Low pressure regulators for use with liquefied petroleum gas (LPG) mixtures,Current,Mandatory (QCO),Compulsory Certification,"pressure, regulators, with, liquefied, petroleum, mixtures",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 3055 (Part 1),Clinical thermometers :Part1 Solid stem type,2001,Mandatory (QCO),Compulsory Certification,"Clinical, thermometers, Solid, stem, type",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 3055 (Part 2),Clinical thermometers :Part 2 Enclosed scale type,Current,Mandatory (QCO),Compulsory Certification,"Clinical, thermometers, Part, Enclosed, scale, type",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 7620 (Part 1),Diagnostic Medical X-Ray Equipment,Current,Mandatory (QCO),Compulsory Certification,"Diagnostic, Medical, Equipment",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 1785 (Part 1) : 1983,Plain Hard-drawn Steel Wire For Pre-stressed Concrete: Part 1 Cold Drawn Stress-relieved Wire,1983,Mandatory (QCO),Compulsory Certification,"Plain, Hard, drawn, Steel, Wire, stressed",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 1785 (Part 2) : 1983,Plain hard-drawn steel wire for pre-stressed concrete Part 2: As drawn wire,1983,Mandatory (QCO),Compulsory Certification,"Plain, hard, drawn, steel, wire, stressed",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 6003:2010,Indented wire for Pre-stressed concrete,2010,Mandatory (QCO),Compulsory Certification,"Indented, wire, stressed, concrete",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 6006:2014,Uncoated stress relieved strand for Pre-stressed concrete.,2014,Mandatory (QCO),Compulsory Certification,"Uncoated, stress, relieved, strand, stressed, concrete",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 13620:1993,Fusion bonded epoxy coated reinforcing bars,1993,Mandatory (QCO),Compulsory Certification,"Fusion, bonded, epoxy, coated, reinforcing, bars",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 14268:1995,Uncoated Stress Relieved Low Relaxation Seven-ply Strand For Pre-stressed Concrete.,1995,Mandatory (QCO),Compulsory Certification,"Uncoated, Stress, Relieved, Relaxation, Seven, Strand",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 277:2003,Galvanized steel sheets ( plain and corrugated).,2003,Mandatory (QCO),Compulsory Certification,"Galvanized, steel, sheets, plain, corrugated",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 2002:2009,Steel plates for pressure vessels for intermediate and high temperature service including boilers.,2002,Mandatory (QCO),Compulsory Certification,"Steel, plates, pressure, vessels, intermediate, high",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 2041:2009,Steel plates for pressure vessels used at moderate and low temperature,2041,Mandatory (QCO),Compulsory Certification,"Steel, plates, pressure, vessels, used, moderate",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 2830:2012,"Carbon steel cast billet ingots ,billets, blooms and slabs for rerolling into steel for general structural purpose",2012,Mandatory (QCO),Compulsory Certification,"Carbon, steel, cast, billet, ingots, billets",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 1786:2008,High strength deformed steel bars and wires for concrete reinforcement,2008,Mandatory (QCO),Compulsory Certification,"High, strength, deformed, steel, bars, wires",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 648:2006,Cold rolled non-oriented electrical steel sheets and strip-fully processed type (CRNO),2006,Mandatory (QCO),Compulsory Certification,"Cold, rolled, oriented, electrical, steel, sheets",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 3024:2015,Grain oriented electrical steel sheet & strip (CRGO),2015,Mandatory (QCO),Compulsory Certification,"Grain, oriented, electrical, steel, sheet, strip",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 15391:2003,Oriented Electrical Steel Sheet and Strip- Semi-Processed Type- Specification.,2003,Mandatory (QCO),Compulsory Certification,"Oriented, Electrical, Steel, Sheet, Strip, Semi",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 2062:2011,Hot rolled medium and high tensile structural steel,2062,Mandatory (QCO),Compulsory Certification,"rolled, medium, high, tensile, structural, steel",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 432 : Part 1:1982,Mild Steel and Medium Tensile Steel Bars and Hard–Drawn Steel Wire for Concrete Reinforcement: Part 1 Mild steel and medium tensile steel bars,1982,Mandatory (QCO),Compulsory Certification,"Mild, Steel, Medium, Tensile, Bars, Hard",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 432 : Part 2:1982,Mild steel and Medium Tensile steel bars and Hard–Drawn Steel Wire for Concrete Reinforcement: Part 2 Hard- Drawn Steel Wire,1982,Mandatory (QCO),Compulsory Certification,"Mild, steel, Medium, Tensile, bars, Hard",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 513 (Part-1): 2016,Cold reduced carbon steel sheets and strips Part 1 Cold Forming and Drawing Purpose,2016,Mandatory (QCO),Compulsory Certification,"Cold, reduced, carbon, steel, sheets, strips",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 513(Part-2):2016,Cold reduced carbon steel sheets and strips Part 2 High Tensile and Multi-phase Steel,2016,Mandatory (QCO),Compulsory Certification,"Cold, reduced, carbon, steel, sheets, strips",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 1079: 2017,"Hot Rolled Carbon Steel Sheet, Plate and Strip — Specification.",2017,Mandatory (QCO),Compulsory Certification,"Rolled, Carbon, Steel, Sheet, Plate, Strip",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 1875:1992,"Carbon steel billets, blooms, slabs and bars for forgings.",1992,Mandatory (QCO),Compulsory Certification,"Carbon, steel, billets, blooms, slabs, bars",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 2879:1998,Mild steel for metal arc welding electrodes.,1998,Mandatory (QCO),Compulsory Certification,"Mild, steel, metal, welding, electrodes",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 3502:2009,Steel Chequered Plates,2009,Mandatory (QCO),Compulsory Certification,"Steel, Chequered, Plates",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 5872:1990,Cold Rolled Steel Strips (Box Strappings).,1990,Mandatory (QCO),Compulsory Certification,"Cold, Rolled, Steel, Strips, Strappings",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 5986: 2017,"Hot Rolled Steel Sheet, Plate and Strip for Forming and Flanging Purposes — Specification.",2017,Mandatory (QCO),Compulsory Certification,"Rolled, Steel, Sheet, Plate, Strip, Forming",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 6240:2008,Hot Rolled Steel Plate (up to 6 mm) Sheet and Strip for the Manufacture of Low Pressure Liquefiable Gas Cylinders,2008,Mandatory (QCO),Compulsory Certification,"Rolled, Steel, Plate, Sheet, Strip, Manufacture",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 7283:1992,Hot Rolled bars for production of bright bars and machined parts for engineering applications.,1992,Mandatory (QCO),Compulsory Certification,"Rolled, bars, production, bright, machined, parts",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 7887:1992,Mild steel wire rods for general engineering purposes.,1992,Mandatory (QCO),Compulsory Certification,"Mild, steel, wire, rods, general, engineering",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 10748:2004,Hot Rolled Steel Strip for Welded Tubes and Pipes.,2004,Mandatory (QCO),Compulsory Certification,"Rolled, Steel, Strip, Welded, Tubes, Pipes",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 11513:2017,Hot Rolled Carbon Steel Strip for Cold Rolling Purposes — Specification,2017,Mandatory (QCO),Compulsory Certification,"Rolled, Carbon, Steel, Strip, Cold, Rolling",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 15647:2006,Hot rolled steel narrow width strip for welded tubes and pipes,2006,Mandatory (QCO),Compulsory Certification,"rolled, steel, narrow, width, strip, welded",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
